building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
Apt_2016_hour_Apt48,0.49860439650615185,49.860438963542336,21.006939,0.14388573536957602
Apt_2016_hour_Apt2,0.5249561544973729,52.49561694798514,28.859587,0.18543682028793626
Apt_2016_hour_Apt96,0.6717047448801409,67.1704716578697,36.14186,0.23897564826249537
Apt_2016_hour_Apt109,0.5453310148233751,54.53310102388757,10.661544,0.10300136877586212
Apt_2016_hour_Apt20,0.5977740718826658,59.77740548258648,12.816485,0.07306406510379788
Apt_2016_hour_Apt53,0.5663916606572142,56.63916689495714,25.528023,0.17939047125310795
Apt_2016_hour_Apt8,0.5665971833635984,56.659720356739776,40.293446,0.22512010468570123
Apt_2016_hour_Apt77,0.7463997876092507,74.63997662480979,29.127844,0.21774389476734246
Apt_2016_hour_Apt102,0.6360141036970229,63.60140969426161,28.017746,0.2043469932433677
Apt_2016_hour_Apt21,0.6469563269930544,64.69563283886787,29.62242,0.16996558694747724
Apt_2016_hour_Apt93,0.6836464645079957,68.36464865520368,24.445059,0.21455597285227193
Apt_2016_hour_Apt7,0.6109477271025213,61.094772787262684,21.97509,0.1785605525866013
Apt_2016_hour_Apt113,0.8687186565242896,86.8718683754098,27.362661,0.20679761373137065
Apt_2016_hour_Apt97,0.5196986961888557,51.969867415510315,31.767942,0.20896909755136503
Apt_2016_hour_Apt78,0.7210995053586502,72.10994896495247,26.654179,0.19564869800302967
Apt_2016_hour_Apt36,0.5561403600246981,55.61403705044969,18.944952,0.12536684888001845
Apt_2016_hour_Apt3,0.707537870687406,70.75378655654085,28.263927,0.14960598407655915
Apt_2016_hour_Apt88,0.638044018298754,63.80439977261623,35.767517,0.20985335007877234
Apt_2016_hour_Apt18,0.6955618262588088,69.55617898818676,31.660215,0.19858165451200044
Apt_2016_hour_Apt71,0.60287108498523,60.287110837496066,25.84565,0.20281748832916696
Apt_2016_hour_Apt112,0.5939276526868982,59.39276698224161,34.37221,0.21949263041475
Apt_2016_hour_Apt95,0.5707916926562016,57.079170813541594,30.802792,0.20130386185679833
Apt_2016_hour_Apt94,0.6096153270954956,60.961533979796286,19.19582,0.11539251082195592
Apt_2016_hour_Apt22,0.7481467094602672,74.81467352105453,34.500248,0.24201876721517052
