building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
Apt_2016_hour_Apt48,0.4943132489513322,49.43132421397354,20.9036,0.14188584804561147
Apt_2016_hour_Apt2,0.5205025074951105,52.050252235048,28.789423,0.1830796471310773
Apt_2016_hour_Apt96,0.672987938779736,67.29879104242264,36.34507,0.2402917282547208
Apt_2016_hour_Apt109,0.5394797797958168,53.94797752605078,10.64086,0.1006939135878396
Apt_2016_hour_Apt20,0.598932666836575,59.893264974671474,12.884917,0.07352839103524006
Apt_2016_hour_Apt53,0.5679169388847776,56.79169471994659,25.699049,0.18061904330372247
Apt_2016_hour_Apt8,0.5681209193811185,56.81209396392516,40.49328,0.22635069051937817
Apt_2016_hour_Apt77,0.7459076208968629,74.59075995497953,29.121239,0.21724929154225836
Apt_2016_hour_Apt102,0.6394780813098969,63.947807451870304,28.129007,0.20568379854396457
Apt_2016_hour_Apt21,0.6485711637167815,64.85711651158894,29.76443,0.17064793190003116
Apt_2016_hour_Apt93,0.6847519913067573,68.4752013386446,24.536442,0.21538948783463255
Apt_2016_hour_Apt7,0.6105840246406854,61.058402541033246,21.995127,0.17830446303955733
Apt_2016_hour_Apt113,0.8673338765803746,86.73339037667775,27.437338,0.20667959120133597
Apt_2016_hour_Apt97,0.5199066610036295,51.990663896105985,31.8471,0.2093104028697191
Apt_2016_hour_Apt78,0.7152870733332426,71.52870577507407,26.555655,0.19366036179769805
Apt_2016_hour_Apt36,0.5541319737062834,55.413198414823654,18.991283,0.12469654484700353
Apt_2016_hour_Apt3,0.7060716161752228,70.60716110638397,28.162912,0.1486980949355532
Apt_2016_hour_Apt88,0.6381197029586331,63.81196823836009,35.75194,0.20907563005080512
Apt_2016_hour_Apt18,0.6980172241448911,69.80171876395357,31.879364,0.1998872335024201
Apt_2016_hour_Apt71,0.6000610414780471,60.006106475875576,25.986246,0.20140301803951677
Apt_2016_hour_Apt112,0.5955654429270265,59.556546010979666,34.55657,0.22001645301499823
Apt_2016_hour_Apt95,0.5695895741527557,56.95895895993699,30.819708,0.20036671085686514
Apt_2016_hour_Apt94,0.6097891177883237,60.97891304944122,19.411148,0.11595213271031471
Apt_2016_hour_Apt22,0.7491978285919444,74.91978543784008,34.476494,0.24209051997442632
