Dataset,NRMSE
Prayas,100.34588377678627
GoiEner,118.468787643117
IBlend,19.420544060698063
Bareilly,65.25730271949024
NEEA,69.68020400161733
MFRED,24.626850412126203
Mathura,134.62338233462694
SGSC,91.42127350080582
Ireland,81.01443240019995
NEST,64.93415176009836
Enernoc,22.53761438912063
Smart-star,61.028153383529485
