building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
eMARC-1H_H134,1.3944292637423645,139.44292979502157,0.028158737,0.14673395458974192
eMARC-1H_H010,1.3744490772779767,137.4449121790659,0.15136825,0.15926612000606918
eMARC-1H_H042,0.7811576490680003,78.11576777554414,0.61267835,0.20687338212377634
eMARC-1H_H057,1.5339712767096008,153.39712713454477,0.11942669,0.15476438617365124
eMARC-1H_H004,1.073047914176748,107.30479290506574,0.4631198,0.12239571766241567
eMARC-1H_H052,1.7180793765977895,171.80794096702564,0.043771077,0.11409410742963394
eMARC-1H_H084,1.7757476324488082,177.5747534984506,0.14000612,0.10159660637028482
eMARC-1H_H122,1.0238608181271995,102.38608616171467,0.18897161,0.0658975135758024
eMARC-1H_H066,2.2163938618353254,221.63939604789311,0.009922509,0.0819262727381046
eMARC-1H_H019,0.7615086839423826,76.15086967071522,0.20611542,0.10831837366915241
eMARC-1H_H091,0.6348257388541525,63.48257331444167,0.12319491,0.08947413784004131
eMARC-1H_H069,0.8310439717032373,83.10439509381183,0.34091938,0.13550019440001895
eMARC-1H_H037,0.5324260865963079,53.2426087780426,0.37318432,0.16278535644096084
eMARC-1H_H125,0.8010124751187454,80.10124806245972,0.04721981,0.0800257386297704
eMARC-1H_H089,0.918149526784857,91.81495176874748,0.16312422,0.1148694179081924
eMARC-1H_H099,1.2322731165468797,123.22730957522496,0.1355868,0.1633463084047309
eMARC-1H_H018,0.983056813395625,98.30568139185786,0.4700196,0.24987625686885295
eMARC-1H_H136,1.4532555668472815,145.32555510342195,0.24431369,0.13911537934970677
eMARC-1H_H115,1.0631721693609821,106.31721910451982,0.4190461,0.11589401375527432
eMARC-1H_H043,0.4152489201034378,41.524893585946835,0.13710807,0.12620747109993427
eMARC-1H_H090,1.575804626632404,157.58046792212448,0.13861494,0.10747583881959587
eMARC-1H_H032,0.6906998508758037,69.06998401383913,0.09776703,0.10650764171501045
eMARC-1H_H133,0.8355089390146861,83.55089341971603,0.1198157,0.07541131656963439
eMARC-1H_H137,0.6171091183185861,61.710913387219286,0.08609272,0.07831453493447686
