Dataset,NRMSE
Prayas,100.1731118349102
GoiEner,118.26790060608586
IBlend,19.581144720103595
Bareilly,63.2833434014773
NEEA,68.5225916988315
MFRED,24.390652108059344
Mathura,132.0906833614373
SGSC,91.46704348418902
Ireland,81.02833559747613
NEST,64.71794429092666
Enernoc,22.53761438912063
Smart-star,61.01865779523723

